25 100
13
1 30
3 99 1
2 4 -1
2 3 48
3 0 4
2 10 -1
3 62 36
2 10 62
3 46 1
2 10 72
2 4 0
2 3 82
2 7 85
2 9 -1
2 7 -1
3 18 1
3 21 9
3 51 2
2 7 21
2 9 -1
3 21 7
2 6 92
3 55 6
2 9 21
2 4 55
3 85 7
2 4 85
3 82 3
2 8 -1
2 10 -1
3 62 10
2 2 51
3 55 4
2 3 82
2 5 55
2 4 62
2 10 -1
3 19 1
2 7 -1
2 1 46
3 72 10
3 87 -1
2 17 -1
2 21 -1
2 1 60
3 51 2
2 5 66
2 4 71
2 6 75
3 13 5
2 5 13
2 7 -1
2 9 -1
3 55 5
2 1 81
3 38 4
2 3 89
3 85 4
3 60 1
2 5 55
3 89 3
3 62 4
3 6 7
2 2 18
2 9 -1
2 1 60
3 60 1
2 7 6
2 1 60
3 31 7
2 7 85
2 4 62
2 8 31
3 30 1
2 10 -1
2 6 -1
3 60 1
2 9 -1
2 3 39
2 7 -1
2 1 30
3 39 3
2 9 -1
3 85 7
3 81 1
2 4 85
3 53 2
2 6 -1
2 6 -1
2 2 39
3 71 4
2 8 -1
2 9 -1
2 4 51
2 5 -1
2 9 -1
3 0 4
3 82 3
2 18 -1
2 3 89
2 10 -1
2 5 -1
2 9 -1
2 3 0
2 6 -1
2 7 -1
2 8 -1
2 9 -1
3 51 4
2 4 51
2 10 -1
2 7 -1
3 55 5
3 18 2
2 9 -1
2 14 -1
2 1 3
3 6 7
3 51 4
3 92 6
3 47 1
2 9 51
2 3 71
3 51 9
3 62 4
2 4 62
2 2 18
3 62 4
2 3 62
3 62 3
2 8 51
3 21 9
3 51 8
3 0 3
2 26 -1
2 32 -1
2 2 0
2 2 62
2 1 2
2 1 41
2 2 64
2 1 47
2 2 81
2 10 51
2 2 83
3 31 8
3 51 10
2 2 92
2 26 -1
2 9 21
3 4 2
2 9 4
3 18 2
2 8 31
2 15 -1
2 10 51
3 51 10
2 10 51
2 7 -1
3 89 3
2 6 -1
3 3 1
2 5 -1
3 4 9
3 20 1
3 21 9
2 5 3
2 7 18
3 92 2
3 30 1
2 9 89
2 10 -1
2 8 -1
2 2 8
3 64 2
2 2 64
3 51 10
3 13 5
2 7 10
2 14 -1
3 66 5
2 7 51
2 4 66
2 10 -1
2 8 -1
2 6 25
2 9 -1
2 8 -1
3 10 7
3 66 4
2 8 10
2 7 -1
2 8 -1
3 41 1
2 1 41
2 1 74
2 9 -1
3 61 1
3 64 2
3 83 2
2 3 58
3 47 1
2 5 64
3 51 7
2 2 69
2 1 47
3 75 6
2 6 75
2 2 83
2 2 51
2 9 -1
3 64 5
2 7 -1
3 8 2
2 3 53
2 10 -1
2 2 8
2 8 -1
2 9 -1
3 0 2
2 2 0
2 1 61
2 8 -1
3 42 4
2 9 -1
2 6 -1
2 8 -1
2 7 -1
2 1 99
3 85 4
2 5 64
2 3 42
2 9 -1
3 46 1
2 9 -1
2 10 -1
3 47 1
3 41 1
2 8 -1
2 8 -1
2 7 -1
3 75 6
3 0 2
2 1 41
3 2 1
3 8 2
3 98 1
2 5 75
2 10 -1
3 62 2
2 12 -1
2 2 8
2 2 56
2 4 85
3 42 3
3 18 7
2 4 42
2 3 0
2 8 -1
2 10 -1
2 3 18
2 2 46
2 6 -1
2 6 -1
2 10 -1
2 5 -1
2 6 -1
3 75 5
3 8 2
2 5 75
3 83 2
2 7 -1
2 3 21
2 7 -1
3 10 8
2 6 8
2 9 -1
3 75 5
2 4 14
2 3 75
3 99 1
3 53 3
2 6 -1
2 3 53
3 37 -1
2 4 -1
2 10 -1
2 2 62
2 7 -1
2 2 83
3 0 3
2 5 -1
2 7 -1
2 5 -1
2 8 -1
3 51 2
2 8 -1
3 42 4
2 8 -1
2 7 -1
2 8 -1
2 7 -1
2 6 -1
2 5 -1
3 62 2
2 4 42
2 7 -1
2 4 -1
2 1 24
3 8 6
2 10 -1
2 6 8
2 6 -1
2 2 51
3 46 2
3 41 1
2 7 -1
3 58 3
2 10 -1
2 6 -1
3 42 4
2 5 41
3 89 9
2 5 89
2 1 46
2 5 94
3 81 2
2 4 78
3 74 1
3 14 4
2 15 -1
3 3 5
2 8 0
2 7 -1
2 4 14
3 51 2
3 21 3
2 6 -1
2 5 -1
2 10 -1
2 8 -1
2 6 -1
3 24 1
2 10 -1
2 1 47
2 9 -1
3 47 1
2 5 -1
2 7 -1
2 8 -1
3 64 5
2 7 62
2 5 -1
2 13 -1
2 6 -1
3 94 5
3 31 8
3 53 3
2 28 -1
3 39 2
3 85 4
2 7 31
2 10 -1
2 6 94
3 83 2
2 5 51
2 7 82
2 1 47
2 8 -1
3 69 2
2 1 74
3 51 5
2 10 -1
2 10 -1
2 5 51
3 47 1
3 71 3
3 14 4
2 5 69
2 2 38
3 48 3
2 3 58
2 3 14
3 81 -1
2 5 -1
3 51 5
2 2 21
3 94 6
2 5 94
2 7 47
2 10 -1
2 5 -1
2 2 23
3 82 7
2 3 82
3 74 1
3 61 1
2 5 -1
2 8 -1
3 21 2
3 46 1
3 38 2
2 5 -1
2 6 -1
2 3 38
3 47 7
2 1 17
2 9 46
2 3 85
2 5 -1
3 62 7
2 5 61
2 3 66
2 5 -1
2 8 -1
2 7 -1
3 56 2
2 8 -1
2 1 74
2 3 55
2 4 -1
2 6 -1
3 99 -1
2 1 88
2 2 21
2 1 99
3 31 7
3 88 1
3 82 3
2 1 88
3 61 5
3 18 3
3 89 5
2 8 -1
2 9 -1
2 23 -1
2 8 -1
2 9 -1
2 9 -1
2 2 18
3 41 5
3 69 5
3 23 2
2 5 41
2 8 -1
2 2 23
3 58 3
2 3 82
2 9 -1
2 10 -1
3 14 3
2 8 58
2 10 -1
2 21 -1
2 7 31
2 5 69
3 55 3
3 8 6
2 6 8
3 82 3
2 8 -1
3 21 2
3 38 3
3 23 2
2 1 14
2 4 20
2 1 24
2 3 38
3 25 6
2 3 55
3 55 3
2 6 25
3 31 7
2 6 31
2 3 55
2 6 -1
2 2 15
2 4 89
3 94 5
2 8 -1
3 69 5
3 8 6
3 85 3
3 41 5
2 5 41
2 8 -1
2 8 -1
2 1 37
3 70 -1
2 5 69
3 41 5
2 5 41
2 1 8
2 7 -1
2 10 -1
3 23 -1
2 8 -1
2 3 9
2 7 -1
3 97 -1
2 5 82
2 1 87
2 6 93
2 1 12
2 1 13
3 74 1
2 4 -1
3 13 1
2 7 -1
2 9 -1
2 9 -1
3 24 1
3 69 5
2 4 69
2 4 -1
2 5 -1
2 4 -1
3 89 4
2 3 89
3 55 3
2 10 -1
2 10 -1
2 6 -1
3 0 8
2 8 0
2 7 -1
3 69 4
3 37 1
3 17 1
2 4 69
3 31 6
3 87 1
2 8 -1
2 2 73
2 3 55
3 12 1
3 38 3
3 66 3
2 9 31
2 10 -1
3 46 9
2 9 46
2 7 -1
2 4 -1
3 15 2
2 6 -1
3 73 2
2 3 15
2 3 66
2 9 -1
3 58 8
2 3 58
3 0 8
3 66 3
2 6 0
3 85 -1
3 82 5
3 41 5
2 9 -1
2 1 24
3 46 9
3 31 9
2 11 31
3 58 3
2 8 58
2 1 92
2 5 82
2 20 -1
2 7 42
3 9 3
2 4 9
2 6 49
3 31 11
2 10 31
2 10 -1
2 8 -1
3 69 4
2 10 -1
2 1 13
3 42 7
2 7 41
2 5 66
3 24 1
2 9 -1
3 1 -1
3 31 10
3 8 1
2 18 -1
3 99 1
3 0 6
2 7 0
2 19 -1
2 4 71
2 3 31
2 7 34
2 9 -1
2 10 -1
2 10 -1
2 2 7
2 2 -1
2 7 -1
3 82 5
2 1 24
2 8 -1
3 55 3
2 4 82
3 58 8
2 4 55
2 1 48
3 88 1
2 6 59
2 3 86
3 13 1
3 59 6
3 48 1
2 3 59
3 71 4
3 15 3
2 2 15
2 3 62
3 31 3
3 89 3
2 8 -1
3 93 6
2 5 93
2 10 -1
2 8 -1
2 3 31
2 10 -1
3 78 4
3 49 6
3 59 3
3 15 2
2 24 -1
3 9 4
2 2 98
3 25 6
2 5 9
2 4 71
2 4 78
2 5 25
2 2 15
2 4 48
2 10 -1
3 34 7
2 7 34
2 7 -1
2 7 -1
2 11 -1
3 7 2
2 9 -1
2 3 52
2 2 7
2 4 -1
3 55 4
2 2 89
3 75 3
2 2 75
3 31 3
2 13 -1
2 7 55
3 14 1
2 3 30
3 71 4
2 7 -1
2 5 -1
2 6 -1
3 78 4
2 3 71
2 3 77
2 3 -1
2 5 -1
2 3 -1
2 7 -1
2 3 -1
2 4 -1
2 8 -1
2 8 -1
2 5 -1
2 7 -1
2 3 -1
2 5 -1
2 7 -1
2 3 -1
3 52 3
2 7 -1
3 9 5
2 4 9
2 8 -1
2 7 -1
3 0 7
2 3 52
2 5 0
3 92 1
3 34 7
2 6 33
2 7 -1
2 10 -1
2 9 -1
3 15 2
3 48 4
2 6 -1
2 2 5
2 3 48
3 5 2
2 4 13
3 89 2
3 55 7
3 25 5
2 2 5
3 82 4
3 30 3
2 21 -1
3 20 4
2 8 25
3 9 4
2 10 -1
3 71 3
3 24 1
3 62 3
3 93 5
2 9 89
2 11 55
2 9 -1
2 1 17
2 19 -1
2 7 -1
2 8 -1
3 77 3
2 9 77
2 9 -1
2 7 -1
2 4 9
2 2 39
2 10 -1
2 3 71
2 4 20
2 1 24
2 6 -1
2 3 -1
2 8 -1
3 75 2
3 55 11
2 9 55
2 6 -1
2 5 -1
3 24 1
3 5 2
2 6 -1
2 6 -1
3 39 2
2 6 -1
2 3 74
2 8 -1
3 9 4
3 0 5
2 5 0
3 98 2
2 3 9
3 66 5
3 25 8
2 23 -1
3 7 2
2 6 64
2 5 24
3 71 3
3 48 3
2 9 -1
2 1 12
2 17 -1
3 9 3
2 4 29
2 4 48
2 1 39
2 6 5
3 0 5
2 10 -1
2 4 70
2 10 -1
2 2 98
3 86 3
2 6 -1
2 5 0
2 7 -1
2 2 86
3 86 2
2 5 -1
2 8 -1
2 8 -1
3 77 9
2 6 77
2 5 83
2 10 -1
3 12 1
2 3 -1
3 89 9
2 1 40
3 20 4
2 6 88
2 8 -1
2 4 20
2 5 -1
2 1 11
2 8 -1
2 9 -1
3 5 6
2 1 12
3 20 4
2 9 -1
2 8 -1
2 4 20
2 9 -1
2 9 -1
3 77 6
2 10 -1
3 39 1
2 2 94
2 3 5
3 0 5
3 18 2
2 10 -1
2 5 0
3 64 6
2 6 64
2 7 -1
3 83 5
3 5 3
2 1 39
2 8 77
2 4 5
2 3 85
2 6 -1
2 4 -1
2 7 -1
2 5 -1
3 70 4
3 52 3
2 7 -1
2 2 9
3 12 1
2 6 -1
2 3 52
3 55 9
3 41 7
3 33 6
1000
1 1000
2 8 0
2 8 8
2 1 16
2 9 17
2 7 26
3 17 9
2 6 17
2 1 23
2 2 24
3 0 8
2 844 33
2 2 0
3 17 6
3 8 8
2 9 2
2 6 17
2 2 11
2 102 877
2 6 979
2 10 985
2 5 995
3 979 6
2 3 13
3 33 844
2 506 33
2 4 979
2 5 539
2 6 544
3 995 5
3 0 2
3 544 6
2 5 995
2 7 544
2 3 551
2 7 554
2 8 561
2 4 569
2 6 573
3 551 3
2 9 579
3 544 7
3 561 8
3 11 2
2 9 544
2 9 588
2 82 597
2 110 679
2 3 561
2 47 789
2 1 553
3 17 6
2 2 0
2 5 564
2 8 836
2 8 844
2 3 17
2 22 852
2 8 -1
2 1 11
2 7 -1
2 2 983
2 5 -1
3 844 8
2 1 12
3 569 4
2 1 20
3 13 3
2 7 844
2 9 -1
2 3 13
2 8 -1
3 597 82
2 2 21
3 564 5
2 7 564
2 4 597
2 8 601
2 10 609
2 10 619
2 7 629
2 40 636
3 21 2
2 5 -1
2 3 676
2 1 851
3 554 7
3 588 9
2 1 21
2 3 874
2 6 554
2 1 22
3 561 3
2 5 588
2 3 560
3 24 2
2 5 -1
2 4 593
2 5 -1
3 629 7
2 2 24
3 874 3
2 8 -1
2 10 -1
2 5 629
3 851 1
2 10 -1
2 6 -1
2 2 571
3 24 2
2 3 874
3 544 9
2 2 24
2 6 544
2 9 -1
2 3 550
2 8 -1
2 1 563
2 3 -1
2 8 -1
2 1 851
3 564 7
2 8 -1
2 1 634
3 601 8
2 2 564
3 579 9
2 8 601
3 877 102
3 571 2
3 629 5
3 921 -1
2 6 566
2 104 -1
2 3 629
2 4 579
2 4 583
3 593 4
2 4 593
3 609 10
2 8 609
2 5 877
2 69 882
2 6 951
2 10 957
2 9 967
2 3 976
2 6 -1
2 1 572
3 449 -1
2 6 -1
3 564 2
2 2 564
2 9 -1
2 4 -1
2 3 -1
3 588 5
2 4 587
2 1 635
3 563 1
2 4 -1
2 7 -1
2 10 -1
3 844 7
2 13 -1
2 9 -1
3 789 47
2 8 789
2 8 797
3 797 8
2 2 591
2 7 844
2 4 797
2 2 617
2 29 801
2 1 563
2 3 830
2 6 -1
2 3 833
2 5 -1
2 1 632
2 3 -1
2 1 633
3 617 2
2 5 -1
2 1 617
3 550 3
3 560 3
2 6 -1
3 21 1
2 4 -1
3 24 2
2 3 550
2 8 -1
3 26 7
3 442 -1
2 13 -1
3 564 2
2 3 560
2 7 24
2 7 -1
2 1 21
3 957 10
2 3 957
2 6 960
3 550 3
2 3 550
2 2 31
2 10 -1
2 2 564
2 1 618
2 1 966
3 960 6
2 2 960
2 3 962
3 960 2
2 1 965
2 6 -1
2 8 -1
2 9 -1
2 10 -1
3 679 110
2 32 679
2 2 960
3 566 6
2 8 711
2 3 566
2 3 569
2 10 719
2 10 729
2 8 739
3 882 69
2 8 747
3 579 4
3 634 1
3 12 1
3 617 1
2 17 755
3 852 22
2 8 772
2 3 579
2 9 780
2 71 -1
3 844 7
2 7 844
2 79 -1
2 3 852
2 4 855
2 6 859
2 4 865
2 1 12
2 3 869
2 69 882
2 2 872
2 9 -1
2 4 -1
2 7 -1
3 719 10
2 3 719
2 6 722
2 1 582
3 747 8
2 2 747
2 5 749
2 5 -1
2 9 -1
2 2 -1
3 983 2
3 965 1
2 5 -1
2 2 983
2 3 -1
2 5 -1
3 635 1
2 3 -1
3 12 1
2 1 12
2 4 -1
3 31 2
2 6 -1
2 3 -1
2 10 -1
3 960 2
2 3 -1
2 7 -1
2 1 617
3 910 -1
2 4 -1
2 4 -1
3 780 9
2 2 31
2 9 780
3 859 6
2 5 859
3 544 6
3 836 8
2 19 -1
2 5 544
2 4 836
2 5 -1
3 13 3
2 1 549
2 2 634
3 979 4
2 10 -1
2 10 -1
2 1 728
3 780 9
2 3 13
2 8 780
2 2 960
3 629 3
2 4 840
3 728 1
3 618 1
2 1 618
3 21 1
3 573 6
2 6 573
2 4 979
2 5 -1
2 4 -1
2 8 -1
2 6 -1
2 6 -1
3 582 1
2 1 21
3 566 3
2 4 -1
2 6 -1
2 7 -1
3 882 69
3 591 2
2 8 882
2 8 890
2 3 566
2 4 898
2 2 591
2 48 902
2 7 -1
2 2 629
2 10 -1
2 5 -1
2 5 -1
3 882 8
2 5 882
2 3 887
2 3 -1
2 4 -1
3 833 3
2 1 582
2 9 -1
2 4 -1
2 10 -1
2 8 -1
2 10 -1
2 3 833
3 755 17
2 6 754
3 830 3
3 391 -1
2 9 760
2 7 -1
2 9 -1
3 676 3
3 24 7
2 3 676
3 960 2
2 5 24
2 1 631
3 739 8
3 569 3
3 898 4
2 2 29
2 13 -1
3 579 3
3 563 1
2 3 569
3 966 1
2 5 739
2 1 563
2 7 -1
3 780 8
2 9 780
2 9 -1
3 553 1
3 13 3
2 5 -1
3 797 4
3 747 2
2 3 13
2 5 744
2 6 -1
2 2 960
2 10 -1
2 5 -1
2 5 -1
3 737 -1
2 8 -1
2 3 579
2 9 -1
3 563 1
2 2 965
2 5 -1
2 6 -1
3 679 32
3 836 4
3 618 1
3 676 3
2 3 769
3 619 10
2 9 618
2 9 676
2 9 685
2 2 627
2 10 694
2 2 830
2 7 704
2 7 -1
2 2 797
3 13 3
3 852 3
2 8 -1
2 9 -1
3 869 3
2 4 836
2 1 553
3 601 8
3 572 1
2 8 601
3 550 3
2 1 563
2 4 898
2 8 -1
2 1 572
2 7 -1
2 8 -1
2 2 799
3 874 3
3 775 -1
2 9 -1
2 9 -1
2 4 -1
2 7 -1
2 6 -1
2 2 13
2 8 -1
2 4 -1
2 7 -1
3 789 8
2 5 789
2 1 15
2 1 728
2 3 550
2 3 794
2 7 -1
3 579 3
2 1 832
2 4 -1
3 0 2
2 7 -1
2 12 -1
2 1 864
2 3 579
2 8 -1
3 539 5
2 4 539
2 4 -1
3 983 2
3 902 48
3 627 2
2 13 902
2 4 915
3 760 9
3 632 1
2 4 760
2 28 919
2 9 -1
2 4 947
2 1 543
3 582 1
2 6 -1
2 10 -1
2 3 852
2 10 -1
3 722 6
2 8 -1
2 20 -1
2 3 869
3 957 3
3 890 8
3 29 2
2 9 -1
2 8 890
2 10 -1
3 21 1
2 9 -1
3 553 1
2 22 -1
2 9 -1
2 7 -1
2 4 764
3 995 5
2 23 -1
2 7 -1
2 4 995
2 4 722
3 676 9
3 609 8
2 10 -1
2 9 676
2 6 609
2 19 -1
2 9 -1
3 663 -1
2 8 -1
3 711 8
2 5 711
2 7 -1
2 2 0
3 11 1
3 573 6
2 7 -1
3 797 2
2 1 11
3 617 1
2 34 -1
2 2 29
2 7 -1
3 877 5
2 1 21
3 569 3
2 1 553
3 859 5
3 799 2
2 7 874
2 2 627
3 597 4
3 13 2
2 40 -1
2 38 -1
2 2 13
3 979 4
3 17 3
2 6 573
2 11 -1
2 7 -1
3 0 2
3 601 8
3 960 2
2 8 597
2 5 859
2 3 17
3 564 2
2 9 -1
3 11 1
3 855 4
2 8 -1
3 902 13
3 874 7
2 38 -1
2 6 979
2 5 957
2 2 0
3 947 4
3 12 1
3 780 9
2 8 874
3 955 -1
3 16 1
2 6 780
2 5 902
3 579 3
2 37 -1
2 7 907
2 3 569
2 1 16
2 3 615
3 933 -1
2 4 579
2 9 -1
3 573 6
2 7 -1
2 4 605
2 8 -1
2 5 573
2 2 11
2 4 797
2 3 716
2 5 -1
2 4 855
2 8 -1
2 4 947
2 10 -1
2 11 -1
3 865 4
3 836 4
2 19 -1
2 17 -1
2 10 -1
2 9 -1
2 3 786
2 8 -1
2 4 836
2 9 -1
3 14 -1
2 1 578
2 2 564
3 31 2
2 4 865
3 587 4
2 4 587
2 9 -1
2 1 632
2 3 -1
2 2 31
2 4 -1
2 7 -1
2 8 -1
2 7 -1
2 3 -1
3 578 1
2 1 578
2 5 -1
2 7 -1
3 754 6
2 5 754
2 8 -1
2 9 -1
2 10 -1
2 5 -1
2 5 -1
3 550 3
2 2 726
2 8 -1
3 786 3
2 10 -1
2 9 -1
2 2 550
2 4 -1
2 4 -1
2 5 -1
3 23 1
2 5 -1
3 840 4
2 9 -1
2 1 23
2 10 -1
3 902 5
2 2 786
2 7 -1
3 583 4
2 5 902
2 9 -1
2 6 -1
3 579 4
2 3 840
2 7 579
2 3 -1
2 1 552
3 24 5
2 3 24
2 6 -1
2 1 586
3 553 1
2 10 -1
2 8 -1
2 2 27
3 979 6
3 729 10
2 10 729
2 5 979
2 4 -1
3 23 1
2 10 -1
2 5 -1
2 10 -1
3 27 2
2 2 27
2 6 -1
2 5 -1
3 676 9
2 5 676
3 780 6
2 3 681
2 3 780
2 1 23
2 2 783
3 704 7
2 2 704
2 6 -1
2 9 -1
2 7 -1
3 951 6
2 10 -1
3 605 4
2 5 706
3 20 1
2 8 -1
2 9 -1
3 957 5
2 26 -1
2 5 951
3 851 1
2 10 -1
2 7 -1
2 10 -1
2 7 -1
3 951 5
2 27 -1
2 14 -1
2 20 -1
2 7 951
2 6 -1
3 890 8
2 2 605
3 29 2
2 2 29
2 5 890
3 865 4
3 33 506
2 4 865
2 1 20
2 5 33
2 206 38
2 9 244
2 7 253
3 587 4
3 17 3
3 543 1
3 840 3
2 2 607
2 3 17
3 569 3
2 16 260
2 1 543
2 220 276
3 591 2
2 25 496
2 9 521
3 887 3
3 0 2
2 10 -1
2 6 587
3 967 9
2 15 -1
3 898 4
2 3 569
2 3 887
2 3 840
2 4 958
2 4 895
2 1 553
2 21 -1
2 2 0
2 1 684
2 2 899
3 260 16
2 7 530
2 6 967
2 9 260
2 8 -1
2 1 759
2 1 768
2 8 -1
3 543 1
2 1 543
2 5 269
2 9 -1
2 8 -1
2 12 -1
2 6 -1
2 9 -1
3 833 3
2 3 833
2 6 -1
2 8 -1
2 15 -1
3 29 2
2 10 -1
2 10 -1
2 2 29
2 9 -1
2 3 973
3 890 5
3 11 2
2 6 -1
2 8 -1
2 2 11
2 6 -1
3 872 2
3 783 2
3 887 3
2 1 788
2 8 887
3 728 1
2 6 -1
2 5 -1
3 869 3
2 10 -1
2 6 -1
3 24 3
3 716 3
2 4 869
3 578 1
2 10 -1
2 2 274
3 958 4
2 2 537
2 2 24
2 4 958
3 907 7
2 15 -1
2 2 716
2 4 907
2 4 911
2 10 -1
3 20 1
3 607 2
2 8 -1
2 2 607
2 5 -1
2 6 -1
2 1 20
2 7 -1
2 5 -1
3 907 4
3 719 3
2 3 783
3 865 4
2 8 -1
3 768 1
2 8 -1
2 7 -1
2 1 26
2 8 -1
2 3 718
2 6 -1
2 10 -1
2 7 -1
3 24 2
3 636 40
2 1 578
2 2 24
2 2 865
2 10 636
2 2 867
2 3 907
2 1 721
3 578 1
2 8 646
2 10 654
2 15 -1
3 544 5
2 1 578
3 899 2
2 8 664
3 947 4
2 2 899
3 38 206
2 1 728
2 189 38
2 9 227
2 1 768
3 962 3
3 744 5
2 6 236
2 2 242
2 6 -1
2 10 -1
3 269 5
2 2 962
2 4 672
2 3 947
2 1 843
2 3 269
2 3 544
3 631 1
3 840 3
2 1 631
2 8 -1
2 10 -1
3 797 4
2 2 272
3 27 2
3 539 4
2 3 840
2 6 -1
3 840 3
2 10 -1
3 609 6
2 1 851
2 8 -1
2 6 609
2 10 -1
3 844 7
2 4 539
2 3 840
3 564 2
3 859 5
2 6 844
3 801 29
2 8 797
2 30 -1
2 40 -1
3 840 3
2 2 27
2 41 -1
2 6 805
2 7 811
3 664 8
3 711 5
2 2 547
2 8 664
3 11 2
3 646 8
2 1 850
3 227 9
3 721 1
2 8 646
2 29 -1
2 48 -1
3 811 7
2 4 711
3 867 2
2 20 -1
3 23 1
2 24 -1
2 7 227
3 895 4
3 253 7
3 672 4
2 7 253
2 3 840
2 20 -1
3 915 4
2 9 811
3 718 3
2 2 11
3 22 1
2 8 820
3 554 6
2 1 715
2 9 -1
2 9 -1
2 9 -1
2 14 -1
2 5 744
2 7 -1
3 887 8
2 2 22
2 47 -1
2 6 554
2 2 234
3 869 4
3 772 8
2 2 564
2 5 859
2 1 901
3 976 3
2 8 772
2 7 867
2 3 976
3 0 2
2 3 672
2 7 887
2 10 -1
2 7 -1
2 4 718
2 2 0
3 543 1
2 10 -1
3 552 1
3 843 1
2 1 543
2 8 -1
2 7 -1
2 1 552
2 18 -1
2 9 -1
2 1 675
3 867 7
3 560 3
2 2 828
2 8 -1
2 7 867
2 9 -1
2 8 -1
